id,subject_title,subject_body,course_id
1,生活の中のインターネット,"第1章 インターネットは生活を変える
第2章 インターネットは仕事を変える
第3章 インターネットはコミュニケーションを変える
第4章 インターネットとクラウド化

",1
2,インターネットユーザの基礎知識,"第1章 インターネットを理解している？
第2章 インターネットを説明してみよう！
第3章 サーバとクライアントってなに？
第4章 なぜウェブっていうの？

",1
3,コンピュータ・インターネットを安全に使うために,"第1章 情報セキュリティってなに？
第2章 ネット犯罪あれやこれ
第3章 コンピュータウイルスって怖いの？
第4章 ネットワークの利用とコンピュータの安全対策

",1
4,コンピュータの情報表現,"第1章 文字はどうして表示できるのか
第2章 コンピュータはどうやって情報を保存するか
第3章 コンピュータであつかう情報の数え方
第4章 実は身近な「文字コード」

",1
5,マルチメディア,"第1章 マルチメディアってなんだろう？
第2章 アナログとデジタルを説明せよ
第3章 コンピュータはこのように画像を表現する
第4章 ファイル形式、何が違う？

",1
6,通信の科学,"第1章 波の種類
第2章 波の表現方法
第3章 光も電波も「電磁波」
第4章 電波の伝わり方

",1
7,データベースの基礎,"第1章 データベースとは
第2章 データベースの設計
第3章 データベースの操作
第4章 データベースの処理方法

",1
8,企業活動,"第1章 企業とは何か	
第2章 顧客と関係構築するマーケティング	
第3章 企業を支える人と組織	
第4章 会計による企業の業績管理

",1
9,ITと法,"第1章 法とビジネスは別？
第2章 ITビジネスに関わる法律
第3章 ITビジネスと契約
第4章 ITビジネスと規制

",1
10,経営戦略,"第1章 マネジメントから経営戦略へ
第2章 経営戦略の変遷①
第3章 経営戦略の変遷②
第4章 現代の経営課題

",1
11,システム戦略,"第1章 企業の情報システム戦略
第2章 内部統制と業務改善
第3章 ソリューションサービスの利用
第4章 システム化計画

",1
12,ソフトウェア開発,"第1章 ソフトウェア開発とは
第2章 ソフトウェア工学
第3章 ソフトウェア開発プロセス
第4章 ソフトウェア開発方法論

",1
13,プロジェクト管理と運用管理,"第1章 プロジェクト管理の概要
第2章 スコープ管理と時間管理
第3章 コスト管理と品質管理
第4章 運用管理

",1
14,全体のまとめ,"第1章 ITの基礎知識
第2章 ビジネスとIT
第3章 テクノロジーの動向
第4章 テクノロジーの進化にどう向き合うべきか

",1
15,インターネット以前の通信,"第1章 通信の始まり
第2章 電信と電話
第3章 コンピュータ通信の歴史
第4章 パソコン通信

",2
16,インターネットの誕生,"第1章 ネットワークの課題
第2章 防衛研究のネットワーク：ARPANET
第3章 学術研究のネットワーク：NSFNET
第4章 インターネット四原則

",2
17,ウェブの誕生,"第1章 ウェブの発祥と進化
第2章 ウェブのしくみ
第3章 ウェブ上の情報の所在
第4章 情報の表記方法

",2
18,インターネットのグローバル化と商用サービス,"第1章 研究ネットから商用ネットへ
第2章 バックボーンネットワークとIX
第3章 ブロードバンド
第4章 モバイルネットワークの高速化

",2
19,メールサービスの仕組み,"第1章 電子メールの歴史
第2章 電子メールの仕組み
第3章 電子メールの送信
第4章 電子メールの受信

",2
20,検索サービスの仕組みと活用方法,"第1章 検索エンジンとは？
第2章 検索エンジンの種類
第3章 検索エンジンの仕組み
第4章 検索エンジンの活用方法

",2
21,eコマースの仕組み,"第1章 eコマースとは
第2章 企業と消費者間の取引
第3章 消費者同士の取引
第4章 企業同士の取引

",2
22,ソーシャルメディア,"第1章 ソーシャルメディアとは
第2章 ソーシャルメディアの普及
第3章 様々なソーシャルメディア
第4章 ソーシャルメディアの活用

",2
23,クラウドコンピューティング・サービス,"第1章 クラウドとは？
第2章 クラウドを支える仮想化技術
第3章 クラウドサービスの分類
第4章 クラウドサービスの効果

",2
24,自宅のネットワーク環境,"第1章 インターネットへの接続方法
第2章 身の回りのネットワーク機器
第3章 自宅からプロバイダまでの通信
第4章 インターネットの通信料

",2
25,コンピュータネットワークの仕組み,"第1章 インターネットの構成
第2章 データの通信方法
第3章 コンピュータの識別方法 (1)
第4章 コンピュータの識別方法 (2)

",2
26,通信の決まり事（プロトコル）,"第1章 プロトコルとは
第2章 TCP/IPとは
第3章 TCP/IPのプロトコル群（1）
第4章 TCP/IPのプロトコル群（2）

",2
27,インターネットのセキュリティ,"第1章 コンピュータのセキュリティ
第2章 ネットワークのセキュリティ
第3章 コンピュータの守り方(1)
第4章 コンピュータの守り方(2)

",2
28,インターネット技術に関するその他の話題,"第1章 モバイルネットワーク（1）
第2章 モバイルネットワーク（2）
第3章 国際標準と国際標準化組織
第4章 本講義のまとめ

",2
29,オリエンテーション,"第1章 講義の概要(1)
第2章 講義の概要(2)
第3章 数の構成
第4章 三角比

",3
30,集合と論理(1),"第1章 集合とは
第2章 ベン図とド・モルガンの法則
第3章 集合の要素の個数
第4章 写像とは

",3
31,集合と論理(2),"第1章 命題とは
第2章 条件と集合
第3章 逆・裏・対偶
第4章 命題と証明

",3
32,確率,"第1章 場合の数
第2章 順列
第3章 組合せ
第4章 確率と期待値

",3
33,直線と平面座標,"第1章 数直線と1次元ユークリッド空間
第2章 平面と2次元ユークリッド空間(1)
第3章 平面と2次元ユークリッド空間(2)
第4章 平面と2次元ユークリッド空間(3)

",3
34,ユークリッド空間,"第1章 点と直線の距離
第2章 ユークリッド空間とは
第3章 回転移動
第4章 対称移動と回転

",3
35,ベクトル(1),"第1章 ベクトルとは
第2章 ベクトルの演算
第3章 ベクトルによる表現
第4章 内積

",3
36,ベクトル(2),"第1章 空間ベクトルとは
第2章 空間ベクトルの演算
第3章 空間ベクトルによる表現
第4章 空間ベクトルの外積

",3
37,行列,"第1章 行列の表し方
第2章 行列の足し算・引き算
第3章 行ベクトル・列ベクトルと内積
第4章 行列の掛け算

",3
